cidade,estado,id,nome,segmento
Arcos,MG,142,Empresa 142,Outro
Mira Estrela,SP,143,Empresa 143,Outro
Embu das Artes,SP,144,Empresa 144,Materiais de Construção
Cruzeiro do Iguaçu,PR,145,Empresa 145,Alimentos / Bebida
Peritoró,MA,146,Empresa 146,Outro
Mallet,PR,147,Empresa 147,Móveis
Bertioga,SP,148,Empresa 148,Alimentos / Bebida
Talismã,TO,149,Empresa 149,Cosméticos / Perfumaria / Higiene
Porto Alegre do Piauí,PI,150,Empresa 150,Utilidades
Santos Dumont,MG,151,Empresa 151,Informática
Assaré,CE,152,Empresa 152,Autopeças
Sertãozinho,PB,153,Empresa 153,Cosméticos / Perfumaria / Higiene
Dourados,MS,154,Empresa 154,Utilidades
Lajeado do Bugre,RS,155,Empresa 155,Informática
Maravilha,SC,156,Empresa 156,Pet-Shop
Matozinhos,MG,157,Empresa 157,Decoração / Cama / Mesa / Banho
Esplanada,BA,158,Empresa 158,Alimentos / Bebida
Santa Rita d'Oeste,SP,159,Empresa 159,Alimentos / Bebida
Pinhalzinho,SP,160,Empresa 160,Alimentos / Bebida
Felisburgo,MG,161,Empresa 161,Confecção / Textil
Lagoa do Itaenga,PE,162,Empresa 162,Cosméticos / Perfumaria / Higiene
Piracuruca,PI,163,Empresa 163,Alimentos / Bebida
Tefé,AM,164,Empresa 164,Calçados
Nova Olinda,CE,165,Empresa 165,Informática
Armação dos Búzios,RJ,166,Empresa 166,Calçados
Governador Celso Ramos,SC,167,Empresa 167,Materiais de Construção
Mirinzal,MA,168,Empresa 168,Outro
João Pessoa,PB,169,Empresa 169,Alimentos / Bebida
Salinas da Margarida,BA,170,Empresa 170,Alimentos / Bebida
Caxingó,PI,171,Empresa 171,Embalagens
Cristal do Sul,RS,172,Empresa 172,Calçados
Gouvelândia,GO,173,Empresa 173,Autopeças
Porto,PI,174,Empresa 174,Informática
Cardoso,SP,175,Empresa 175,Outro
Lajeado Novo,MA,176,Empresa 176,Alimentos / Bebida
Itanagra,BA,177,Empresa 177,Móveis
Porto Alegre do Piauí,PI,178,Empresa 178,Alimentos / Bebida
Embaúba,SP,179,Empresa 179,Cosméticos / Perfumaria / Higiene
Maraial,PE,180,Empresa 180,Outro
Vargem Alta,ES,181,Empresa 181,Calçados
São José do Divino,MG,182,Empresa 182,Informática
Inaciolândia,GO,183,Empresa 183,Outro
São Marcos,RS,184,Empresa 184,Embalagens
Planalto Alegre,SC,185,Empresa 185,Outro
Toritama,PE,186,Empresa 186,Confecção / Textil
São Martinho,SC,187,Empresa 187,Cosméticos / Perfumaria / Higiene
Westfalia,RS,188,Empresa 188,Informática
Monte Santo do Tocantins,TO,189,Empresa 189,Alimentos / Bebida
Jacinto,MG,190,Empresa 190,Utilidades
Unaí,MG,191,Empresa 191,Cosméticos / Perfumaria / Higiene
Goiatins,TO,192,Empresa 192,Alimentos / Bebida
São Miguel das Matas,BA,193,Empresa 193,Alimentos / Bebida
Silveira Martins,RS,194,Empresa 194,Calçados
Capinzal do Norte,MA,195,Empresa 195,Confecção / Textil
Turvolândia,MG,196,Empresa 196,Outro
São Bento do Trairí,RN,197,Empresa 197,Móveis
Birigui,SP,198,Empresa 198,Autopeças
Capela de Santana,RS,199,Empresa 199,Outro
Moita Bonita,SE,200,Empresa 200,Informática
Faxinal do Soturno,RS,201,Empresa 201,Eletrônicos / Eletrodomésticos
Guimarânia,MG,202,Empresa 202,Alimentos / Bebida
Alto Jequitibá,MG,203,Empresa 203,Embalagens
Águas de São Pedro,SP,204,Empresa 204,Alimentos / Bebida
Florínia,SP,205,Empresa 205,Máquinas / Equipamentos
Biritinga,BA,206,Empresa 206,Outro
Veríssimo,MG,207,Empresa 207,Outro
Bonfinópolis,GO,208,Empresa 208,Alimentos / Bebida
Bertópolis,MG,209,Empresa 209,Confecção / Textil
Leandro Ferreira,MG,210,Empresa 210,Autopeças
Jesuítas,PR,211,Empresa 211,Alimentos / Bebida
Ibitirama,ES,212,Empresa 212,Informática
Itatinga,SP,213,Empresa 213,Eletrônicos / Eletrodomésticos
Juatuba,MG,214,Empresa 214,Alimentos / Bebida
Ibiraci,MG,215,Empresa 215,Pet-Shop
Ibicuitinga,CE,216,Empresa 216,Outro
Gracho Cardoso,SE,217,Empresa 217,Alimentos / Bebida
Pavussu,PI,218,Empresa 218,Móveis
Piripiri,PI,219,Empresa 219,Confecção / Textil
Patos de Minas,MG,220,Empresa 220,Outro
Rondon do Pará,PA,221,Empresa 221,Alimentos / Bebida
Deodápolis,MS,222,Empresa 222,Cosméticos / Perfumaria / Higiene
Serra Talhada,PE,223,Empresa 223,Outro
São Félix do Piauí,PI,224,Empresa 224,Calçados
Costa Marques,RO,225,Empresa 225,Eletrônicos / Eletrodomésticos
Juruaia,MG,226,Empresa 226,Cosméticos / Perfumaria / Higiene
Taiaçu,SP,227,Empresa 227,Informática
Pacaembu,SP,228,Empresa 228,Alimentos / Bebida
Itinga do Maranhão,MA,229,Empresa 229,Outro
Cássia,MG,230,Empresa 230,Cosméticos / Perfumaria / Higiene
São Miguel do Oeste,SC,231,Empresa 231,Informática
Pirapó,RS,232,Empresa 232,Utilidades
Goiatuba,GO,233,Empresa 233,Alimentos / Bebida
Santo Antônio do Retiro,MG,234,Empresa 234,Calçados
Dois Riachos,AL,235,Empresa 235,Confecção / Textil
Frei Miguelinho,PE,236,Empresa 236,Informática
Estação,RS,237,Empresa 237,Alimentos / Bebida
Mantena,MG,238,Empresa 238,Outro
Itagibá,BA,239,Empresa 239,Outro
Contenda,PR,240,Empresa 240,Alimentos / Bebida
Santa Rosa de Lima,SC,241,Empresa 241,Outro
Braço do Trombudo,SC,242,Empresa 242,Outro
Foz do Jordão,PR,243,Empresa 243,Autopeças
Ouro Verde de Goiás,GO,244,Empresa 244,Alimentos / Bebida
Campos Novos,SC,245,Empresa 245,Informática
Lapão,BA,246,Empresa 246,Informática
Patos do Piauí,PI,247,Empresa 247,Utilidades
São João das Missões,MG,248,Empresa 248,Confecção / Textil
Calmon,SC,249,Empresa 249,Alimentos / Bebida
São José das Palmeiras,PR,250,Empresa 250,Confecção / Textil
Riacho dos Cavalos,PB,251,Empresa 251,Cosméticos / Perfumaria / Higiene
Bonito,PE,252,Empresa 252,Móveis
Santa Rita d'Oeste,SP,253,Empresa 253,Jóias e Bijuterias
João Dias,RN,254,Empresa 254,Móveis
Soledade de Minas,MG,255,Empresa 255,Limpeza / Higiene
Inhumas,GO,256,Empresa 256,Alimentos / Bebida
Nova Roma do Sul,RS,257,Empresa 257,Cosméticos / Perfumaria / Higiene
Monte Aprazível,SP,258,Empresa 258,Alimentos / Bebida
Rio Largo,AL,259,Empresa 259,Cosméticos / Perfumaria / Higiene
Coqueiral,MG,260,Empresa 260,Materiais de Construção
Ribeira do Amparo,BA,261,Empresa 261,Eletrônicos / Eletrodomésticos
Brejinho,RN,262,Empresa 262,Cosméticos / Perfumaria / Higiene
Nantes,SP,263,Empresa 263,Alimentos / Bebida
Nova Olinda,PB,264,Empresa 264,Brinquedos
José Raydan,MG,265,Empresa 265,Outro
Areiópolis,SP,266,Empresa 266,Outro
Guaraciaba,MG,267,Empresa 267,Alimentos / Bebida
Poconé,MT,268,Empresa 268,Alimentos / Bebida
Santo Antônio de Pádua,RJ,269,Empresa 269,Alimentos / Bebida
Centralina,MG,270,Empresa 270,Calçados
Santa Rosa do Tocantins,TO,271,Empresa 271,Cosméticos / Perfumaria / Higiene
Trairi,CE,272,Empresa 272,Calçados
Remanso,BA,273,Empresa 273,Autopeças
Ipubi,PE,274,Empresa 274,Outro
Santa Luzia,MA,275,Empresa 275,Limpeza / Higiene
Utinga,BA,276,Empresa 276,Outro
Pedra Lavrada,PB,277,Empresa 277,Alimentos / Bebida
São Vicente Ferrer,MA,278,Empresa 278,Outro
Cocal dos Alves,PI,279,Empresa 279,Outro
João Ramalho,SP,280,Empresa 280,Outro
Granjeiro,CE,281,Empresa 281,Alimentos / Bebida
Rio Negro,MS,282,Empresa 282,Materiais de Construção
Borá,SP,283,Empresa 283,Cosméticos / Perfumaria / Higiene
Itabira,MG,284,Empresa 284,Alimentos / Bebida
Franco da Rocha,SP,285,Empresa 285,Alimentos / Bebida
Paraisópolis,MG,286,Empresa 286,Alimentos / Bebida
Nova Aurora,GO,287,Empresa 287,Utilidades
Cajueiro,AL,288,Empresa 288,Informática
Araças,BA,289,Empresa 289,Confecção / Textil
Ladário,MS,290,Empresa 290,Informática
Ibiam,SC,291,Empresa 291,Alimentos / Bebida
Jaú,SP,292,Empresa 292,Cosméticos / Perfumaria / Higiene
Santa Clara do Sul,RS,293,Empresa 293,Outro
Olhos-d'Água,MG,294,Empresa 294,Alimentos / Bebida
Picuí,PB,295,Empresa 295,Materiais de Construção
Ribeirão Claro,PR,296,Empresa 296,Outro
Santana de Cataguases,MG,297,Empresa 297,Cosméticos / Perfumaria / Higiene
Barão de Monte Alto,MG,298,Empresa 298,Cosméticos / Perfumaria / Higiene
Santa Rosa da Serra,MG,299,Empresa 299,Jóias e Bijuterias
Paracatu,MG,300,Empresa 300,Alimentos / Bebida
Mauá da Serra,PR,301,Empresa 301,Jóias e Bijuterias
Santa Teresinha,BA,302,Empresa 302,Alimentos / Bebida
Paraguaçu,MG,303,Empresa 303,Outro
Simões Filho,BA,304,Empresa 304,Alimentos / Bebida
Santa Rosa do Sul,SC,305,Empresa 305,Alimentos / Bebida
Paula Freitas,PR,306,Empresa 306,Alimentos / Bebida
São José do Jacuri,MG,307,Empresa 307,Cosméticos / Perfumaria / Higiene
Triunfo,PB,308,Empresa 308,Alimentos / Bebida
Serraria,PB,309,Empresa 309,Calçados
Alta Floresta,MT,310,Empresa 310,Outro
Mendes,RJ,311,Empresa 311,Outro
Peritiba,SC,312,Empresa 312,Outro
Mataraca,PB,313,Empresa 313,Autopeças
Aliança do Tocantins,TO,314,Empresa 314,Informática
Patos,PB,315,Empresa 315,Utilidades
Três Passos,RS,316,Empresa 316,Brinquedos
Unistalda,RS,317,Empresa 317,Outro
São Sebastião da Boa Vista,PA,318,Empresa 318,Eletrônicos / Eletrodomésticos
Cidreira,RS,319,Empresa 319,Alimentos / Bebida
Itambé,BA,320,Empresa 320,Alimentos / Bebida
Nova Monte Verde,MT,321,Empresa 321,Máquinas / Equipamentos
Barra Mansa,RJ,322,Empresa 322,Informática
Várzea Grande,MT,323,Empresa 323,Jóias e Bijuterias
São Sebastião do Rio Preto,MG,324,Empresa 324,Pet-Shop
Santa Cruz do Arari,PA,325,Empresa 325,Jóias e Bijuterias
Pedrinhas,SE,326,Empresa 326,Confecção / Textil
Esperantina,TO,327,Empresa 327,Alimentos / Bebida
Abadia de Goiás,GO,328,Empresa 328,Alimentos / Bebida
Pedro Laurentino,PI,329,Empresa 329,Outro
João Alfredo,PE,330,Empresa 330,Alimentos / Bebida
Salgado,SE,331,Empresa 331,Áudio / Música / Som
São João da Varjota,PI,332,Empresa 332,Cosméticos / Perfumaria / Higiene
Leme do Prado,MG,333,Empresa 333,Utilidades
Sossêgo,PB,334,Empresa 334,Autopeças
Maragogipe,BA,335,Empresa 335,Cosméticos / Perfumaria / Higiene
Mulungu,CE,336,Empresa 336,Alimentos / Bebida
Potirendaba,SP,337,Empresa 337,Outro
São Luís,MA,338,Empresa 338,Alimentos / Bebida
Alfredo Vasconcelos,MG,339,Empresa 339,Informática
Reserva do Cabaçal,MT,340,Empresa 340,Decoração / Cama / Mesa / Banho
Nazaré,TO,341,Empresa 341,Informática
Araguacema,TO,342,Empresa 342,Informática
São João do Arraial,PI,343,Empresa 343,Outro
Itaju,SP,344,Empresa 344,Decoração / Cama / Mesa / Banho
Buriti de Goiás,GO,345,Empresa 345,Embalagens
Jordão,AC,346,Empresa 346,Máquinas / Equipamentos
Carvalhos,MG,347,Empresa 347,Confecção / Textil
Magda,SP,348,Empresa 348,Outro
Aguiarnópolis,TO,349,Empresa 349,Alimentos / Bebida
Nova Marilândia,MT,350,Empresa 350,Alimentos / Bebida
Santo Antônio do Leverger,MT,351,Empresa 351,Outro
Mirante do Paranapanema,SP,352,Empresa 352,Alimentos / Bebida
Olinda Nova do Maranhão,MA,353,Empresa 353,Outro
Ibirapitanga,BA,354,Empresa 354,Cosméticos / Perfumaria / Higiene
São Domingos,GO,355,Empresa 355,Alimentos / Bebida
Santa Brígida,BA,356,Empresa 356,Cosméticos / Perfumaria / Higiene
Pastos Bons,MA,357,Empresa 357,Máquinas / Equipamentos
São João do Ivaí,PR,358,Empresa 358,Cosméticos / Perfumaria / Higiene
São Caetano do Sul,SP,359,Empresa 359,Materiais de Construção
Magalhães de Almeida,MA,360,Empresa 360,Alimentos / Bebida
Franco da Rocha,SP,361,Empresa 361,Alimentos / Bebida
Ribeira,SP,362,Empresa 362,Alimentos / Bebida
Bela Vista de Goiás,GO,363,Empresa 363,Informática
Santana do Maranhão,MA,364,Empresa 364,Informática
Taquaral,SP,365,Empresa 365,Informática
Palmitos,SC,366,Empresa 366,Informática
Zé Doca,MA,367,Empresa 367,Alimentos / Bebida
Coronel José Dias,PI,368,Empresa 368,Brinquedos
Jati,CE,369,Empresa 369,Cosméticos / Perfumaria / Higiene
Coronel Barros,RS,370,Empresa 370,Alimentos / Bebida
Princesa,SC,371,Empresa 371,Alimentos / Bebida
Montes Altos,MA,372,Empresa 372,Outro
Triunfo,PB,373,Empresa 373,Outro
Catuji,MG,374,Empresa 374,Outro
Jaboticabal,SP,375,Empresa 375,Cosméticos / Perfumaria / Higiene
Bonito,PE,376,Empresa 376,Medicamentos
Santa Helena,MA,377,Empresa 377,Materiais de Construção
Fortim,CE,378,Empresa 378,Outro
São Cristóvão,SE,379,Empresa 379,Informática
Marilac,MG,380,Empresa 380,Autopeças
Pavussu,PI,381,Empresa 381,Alimentos / Bebida
Mogi Mirim,SP,382,Empresa 382,Informática
Nova Redenção,BA,383,Empresa 383,Cosméticos / Perfumaria / Higiene
São João Evangelista,MG,384,Empresa 384,Alimentos / Bebida
Nova Glória,GO,385,Empresa 385,Embalagens
Barra de Santo Antônio,AL,386,Empresa 386,Alimentos / Bebida
Roca Sales,RS,387,Empresa 387,Autopeças
Chapada,RS,388,Empresa 388,Áudio / Música / Som
São João do Sabugi,RN,389,Empresa 389,Outro
Itaóca,SP,390,Empresa 390,Medicamentos
Aragoiânia,GO,391,Empresa 391,Cosméticos / Perfumaria / Higiene
Porto Barreiro,PR,392,Empresa 392,Cosméticos / Perfumaria / Higiene
Marmeleiro,PR,393,Empresa 393,Confecção / Textil
Baixa Grande,BA,394,Empresa 394,Cosméticos / Perfumaria / Higiene
Alagoa Nova,PB,395,Empresa 395,Alimentos / Bebida
Ferros,MG,396,Empresa 396,Outro
Penha,SC,397,Empresa 397,Confecção / Textil
Aquidabã,SE,398,Empresa 398,Cosméticos / Perfumaria / Higiene
Guarani,MG,399,Empresa 399,Autopeças
Populina,SP,400,Empresa 400,Informática
Sátiro Dias,BA,401,Empresa 401,Outro
Itaquaquecetuba,SP,402,Empresa 402,Cosméticos / Perfumaria / Higiene
Sertão,RS,403,Empresa 403,Alimentos / Bebida
Bom Jesus da Lapa,BA,404,Empresa 404,Pet-Shop
Araruna,PR,405,Empresa 405,Outro
Graça,CE,406,Empresa 406,Informática
Alfredo Chaves,ES,407,Empresa 407,Alimentos / Bebida
Córrego do Ouro,GO,408,Empresa 408,Cosméticos / Perfumaria / Higiene
Olindina,BA,409,Empresa 409,Confecção / Textil
Pindaí,BA,410,Empresa 410,Alimentos / Bebida
Pimenta,MG,411,Empresa 411,Alimentos / Bebida
Tubarão,SC,412,Empresa 412,Outro
Ibirapuitã,RS,413,Empresa 413,Alimentos / Bebida
Palmeirina,PE,414,Empresa 414,Alimentos / Bebida
Cruz das Almas,BA,415,Empresa 415,Alimentos / Bebida
Bonópolis,GO,416,Empresa 416,Informática
Urucânia,MG,417,Empresa 417,Alimentos / Bebida
Maruim,SE,418,Empresa 418,Cosméticos / Perfumaria / Higiene
Populina,SP,419,Empresa 419,Áudio / Música / Som
Pinheiral,RJ,420,Empresa 420,Alimentos / Bebida
Barra,BA,421,Empresa 421,Informática
Xapuri,AC,422,Empresa 422,Autopeças
Pinhão,SE,423,Empresa 423,Outro
José de Freitas,PI,424,Empresa 424,Materiais de Construção
São João do Triunfo,PR,425,Empresa 425,Outro
Mascote,BA,426,Empresa 426,Alimentos / Bebida
Brasilândia do Tocantins,TO,427,Empresa 427,Alimentos / Bebida
Caiana,MG,428,Empresa 428,Informática
Estrela do Indaiá,MG,429,Empresa 429,Cosméticos / Perfumaria / Higiene
Malacacheta,MG,430,Empresa 430,Eletrônicos / Eletrodomésticos
Guarapari,ES,431,Empresa 431,Alimentos / Bebida
Monte Sião,MG,432,Empresa 432,Alimentos / Bebida
Paragominas,PA,433,Empresa 433,Outro
Cachoeirinha,RS,434,Empresa 434,Informática
Itaparica,BA,435,Empresa 435,Outro
Vitória Brasil,SP,436,Empresa 436,Materiais de Construção
Coroados,SP,437,Empresa 437,Materiais de Construção
Gongogi,BA,438,Empresa 438,Outro
Ibatiba,ES,439,Empresa 439,Confecção / Textil
Macarani,BA,440,Empresa 440,Confecção / Textil
Nova Bandeirantes,MT,441,Empresa 441,Alimentos / Bebida
São Gonçalo,RJ,442,Empresa 442,Pet-Shop
Passa Quatro,MG,443,Empresa 443,Alimentos / Bebida
Antônio Prado de Minas,MG,444,Empresa 444,Calçados
Selvíria,MS,445,Empresa 445,Outro
Faro,PA,446,Empresa 446,Alimentos / Bebida
Aurora,CE,447,Empresa 447,Informática
Tucumã,PA,448,Empresa 448,Materiais de Construção
Rubiataba,GO,449,Empresa 449,Cosméticos / Perfumaria / Higiene
Santo Antônio das Missões,RS,450,Empresa 450,Outro
Glória do Goitá,PE,451,Empresa 451,Cosméticos / Perfumaria / Higiene
Barro Alto,GO,452,Empresa 452,Máquinas / Equipamentos
Pereira Barreto,SP,453,Empresa 453,Alimentos / Bebida
Bituruna,PR,454,Empresa 454,Calçados
São João de Iracema,SP,455,Empresa 455,Informática
Esmeraldas,MG,456,Empresa 456,Informática
João Dourado,BA,457,Empresa 457,Cosméticos / Perfumaria / Higiene
Santa Rita do Novo Destino,GO,458,Empresa 458,Outro
Jatobá,PE,459,Empresa 459,Informática
Pirapemas,MA,460,Empresa 460,Decoração / Cama / Mesa / Banho
Pindamonhangaba,SP,461,Empresa 461,Brinquedos
Cachoeira de Minas,MG,462,Empresa 462,Outro
Simões,PI,463,Empresa 463,Calçados
Mamborê,PR,464,Empresa 464,Informática
Santa Cruz da Esperança,SP,465,Empresa 465,Alimentos / Bebida
Lavras da Mangabeira,CE,466,Empresa 466,Materiais de Construção
Guabiruba,SC,467,Empresa 467,Confecção / Textil
Calçado,PE,468,Empresa 468,Autopeças
Ibicaré,SC,469,Empresa 469,Outro
Itamaraju,BA,470,Empresa 470,Cosméticos / Perfumaria / Higiene
Piripiri,PI,471,Empresa 471,Alimentos / Bebida
São José dos Quatro Marcos,MT,472,Empresa 472,Alimentos / Bebida
Manoel Vitorino,BA,473,Empresa 473,Alimentos / Bebida
Nova Ubiratã,MT,474,Empresa 474,Informática
Presidente Castelo Branco,PR,475,Empresa 475,Confecção / Textil
Santa Isabel do Rio Negro,AM,476,Empresa 476,Informática
Imigrante,RS,477,Empresa 477,Alimentos / Bebida
Piên,PR,478,Empresa 478,Confecção / Textil
Itambé,PE,479,Empresa 479,Decoração / Cama / Mesa / Banho
São Lourenço da Mata,PE,480,Empresa 480,Áudio / Música / Som
Crato,CE,481,Empresa 481,Outro
Formoso,GO,482,Empresa 482,Decoração / Cama / Mesa / Banho
Cariacica,ES,483,Empresa 483,Alimentos / Bebida
Andrelândia,MG,484,Empresa 484,Materiais de Construção
Colíder,MT,485,Empresa 485,Alimentos / Bebida
